lead_id,advisor_crd,contacted_date,predicted_score,actual_converted,driver_1_feature,driver_1_shap,driver_1_value,driver_1_direction,driver_2_feature,driver_2_shap,driver_2_value,driver_2_direction,driver_3_feature,driver_3_shap,driver_3_value,driver_3_direction
lead_23,0,2024-11-29 00:00:00,0.20184603333473206,0,current_firm_tenure_months,-0.12061449885368347,81.0,decreases,industry_tenure_months,-0.05720660090446472,91.0,decreases,firm_aum_pit,0.050734907388687134,41695726722.0,increases
lead_24,0,2024-11-30 00:00:00,0.050234414637088776,0,current_firm_tenure_months,-0.213120698928833,256.0,decreases,num_prior_firms,-0.04003796726465225,0.0,decreases,firm_rep_count_at_contact,0.011808112263679504,0.0,increases
lead_25,0,2024-12-01 00:00:00,0.36987733840942383,0,days_in_gap,0.1438620686531067,1249.0,increases,aum_growth_since_jan2024_pct,0.13628675043582916,16.2664525584818,increases,firm_aum_pit,0.07168087363243103,41695726722.0,increases
lead_26,0,2024-12-02 00:00:00,0.28438007831573486,0,current_firm_tenure_months,0.13461342453956604,50.0,increases,firm_rep_count_at_contact,0.1170574277639389,0.0,increases,days_in_gap,0.08193269371986389,146.0,increases
lead_27,0,2024-12-03 00:00:00,0.33355239033699036,0,current_firm_tenure_months,0.15056748688220978,50.0,increases,days_in_gap,0.13380447030067444,157.0,increases,aum_growth_since_jan2024_pct,0.09173122048377991,16.2664525584818,increases
lead_28,0,2024-12-04 00:00:00,0.3192579448223114,0,firm_net_change_12mo,0.1105862706899643,-3062.0,increases,aum_growth_since_jan2024_pct,0.08100061118602753,16.2664525584818,increases,current_firm_tenure_months,0.06385400891304016,75.0,increases
lead_29,0,2024-12-05 00:00:00,0.2963932454586029,0,days_in_gap,0.09187665581703186,2603.0,increases,firm_aum_pit,0.06532523036003113,41695726722.0,increases,firm_rep_count_at_contact,0.05816969275474548,0.0,increases
lead_30,0,2024-12-06 00:00:00,0.48271945118904114,0,days_in_gap,0.2825000584125519,158.0,increases,current_firm_tenure_months,0.2439928650856018,28.0,increases,firm_rep_count_at_contact,0.20255687832832336,0.0,increases
lead_31,0,2024-12-07 00:00:00,0.3617306351661682,0,days_in_gap,0.17275287210941315,158.0,increases,current_firm_tenure_months,0.14018671214580536,52.0,increases,aum_growth_since_jan2024_pct,0.11435180902481079,16.2664525584818,increases
lead_32,0,2024-12-08 00:00:00,0.3774837851524353,0,current_firm_tenure_months,0.19748568534851074,52.0,increases,firm_rep_count_at_contact,0.1950659155845642,0.0,increases,firm_net_change_12mo,0.1324935108423233,-3060.0,increases
lead_33,0,2024-12-09 00:00:00,0.03840351849794388,0,current_firm_tenure_months,-0.15749847888946533,227.0,decreases,firm_net_change_12mo,0.008353352546691895,-3060.0,increases,aum_growth_since_jan2024_pct,-0.0046182796359062195,16.2664525584818,decreases
lead_34,0,2024-12-10 00:00:00,0.05201581120491028,0,current_firm_tenure_months,-0.14710041880607605,152.0,decreases,industry_tenure_months,-0.03031940758228302,194.0,decreases,days_in_gap,-0.013976454734802246,150.0,decreases
lead_35,0,2024-12-11 00:00:00,0.30882740020751953,0,firm_rep_count_at_contact,0.12370844185352325,0.0,increases,current_firm_tenure_months,0.1142273098230362,71.0,increases,firm_net_change_12mo,0.07542118430137634,-3060.0,increases
lead_36,0,2024-12-12 00:00:00,0.27706506848335266,0,firm_rep_count_at_contact,0.11850610375404358,0.0,increases,current_firm_tenure_months,0.08938387036323547,68.0,increases,firm_net_change_12mo,0.08249156177043915,-3060.0,increases
lead_37,0,2024-12-13 00:00:00,0.466304749250412,0,days_in_gap,0.2654854357242584,150.0,increases,current_firm_tenure_months,0.25103139877319336,52.0,increases,firm_net_change_12mo,0.17848217487335205,-3060.0,increases
lead_38,0,2024-12-14 00:00:00,0.25007396936416626,0,current_firm_tenure_months,0.13037028908729553,48.0,increases,firm_rep_count_at_contact,0.09629009664058685,2.0,increases,firm_net_change_12mo,0.08330714702606201,-2398.0,increases
lead_39,0,2024-12-15 00:00:00,0.07036978006362915,0,current_firm_tenure_months,-0.10766825079917908,190.0,decreases,firm_net_change_12mo,-0.02652130275964737,-2398.0,decreases,firm_aum_pit,-0.017726674675941467,41695726722.0,decreases
lead_40,0,2024-12-16 00:00:00,0.1560460329055786,0,days_in_gap,-0.14072096347808838,153.0,decreases,firm_rep_count_at_contact,-0.07685942947864532,2.0,decreases,aum_growth_since_jan2024_pct,0.029957473278045654,16.2664525584818,increases
lead_41,0,2024-12-17 00:00:00,0.037024617195129395,0,current_firm_tenure_months,-0.3378026783466339,251.0,decreases,industry_tenure_months,-0.010436724871397018,197.0,decreases,aum_growth_since_jan2024_pct,-0.004936326295137405,16.2664525584818,decreases
lead_42,0,2024-12-18 00:00:00,0.2734055519104004,0,firm_net_change_12mo,0.1185726523399353,-2394.0,increases,firm_rep_count_at_contact,0.07972419261932373,2.0,increases,num_prior_firms,0.06700892746448517,4.0,increases
lead_43,0,2024-12-19 00:00:00,0.13992343842983246,0,industry_tenure_months,-0.04714678227901459,107.0,decreases,days_in_gap,-0.04713895916938782,150.0,decreases,pit_mobility_tier_Highly Mobile,-0.04444636404514313,1.0,decreases
lead_44,0,2024-12-20 00:00:00,0.15106768906116486,0,firm_rep_count_at_contact,-0.0652313083410263,2.0,decreases,num_prior_firms,-0.03127104043960571,1.0,decreases,industry_tenure_months,-0.029600515961647034,125.0,decreases
lead_45,0,2024-12-21 00:00:00,0.1865616887807846,0,days_in_gap,-0.05112840235233307,151.0,decreases,firm_net_change_12mo,0.04846827685832977,-2394.0,increases,pit_moves_3yr,-0.038557037711143494,3.0,decreases
