days_to_mql
28
1
2
0
1
1
-41
1
-453
-240
-176
-119
-187
71
-7
0
7
0
123
-234
-162
-166
-165
-131
-131
0
1
12
-141
-27
0
0
0
1
0
0
0
23
7
-179
39
1
2
204
8
0
-290
5
44
12
9
-322
-79
3
0
1
-88
3
91
2
1
0
1
0
-148
110
0
8
-182
-75
1
1
10
3
133
10
22
0
0
172
68
-482
163
1
0
32
7
1
2
6
22
0
15
-17
0
385
-33
0
-599
0
194
0
-46
215
0
42
0
-136
-614
0
2
0
0
4
1
47
-85
-4
0
2
1
1
573
-234
0
0
-14
1
-532
552
-428
59
18
0
1
-25
451
-563
3
0
0
0
2
533
7
-523
-23
0
-2
5
542
1
2
48
12
-553
5
0
-7
-64
1
28
0
44
-2
-567
0
7
0
0
0
-1
2
-522
-530
-1
2
-5
77
8
5
3
-557
2
1
399
19
1
1
0
2
2
2
-547
0
0
3
0
127
2
14
55
15
6
6
-323
-475
-497
5
-510
6
2
166
6
2
-540
44
6
1
96
3
193
75
20
381
79
0
-458
-177
-3
0
437
11
133
236
1
25
-488
-523
4
-6
118
28
3
0
6
-497
-147
1
15
1
0
1
0
-434
181
-510
23
1
1
1
1
-446
10
-341
3
258
254
2
1
15
63
95
8
10
-498
0
6
11
17
276
8
103
-464
0
0
3
1
4
3
-505
0
0
-7
27
1
-473
8
3
-455
0
-6
0
-17
285
28
28
208
0
76
0
-3
0
189
0
1
6
-247
1
0
0
-6
8
7
-83
0
372
43
0
0
9
5
3
0
-505
0
2
184
0
0
0
-3
8
6
0
7
0
0
17
254
3
0
11
1
-1
0
128
-3
44
462
22
-477
7
0
59
-441
0
419
6
-235
0
42
31
1
0
4
4
64
3
5
0
1
0
1
55
1
0
-352
1
-393
1
0
64
0
18
0
3
1
6
0
0
148
19
-274
2
0
1
1
-193
211
-58
2
-105
-423
-408
10
48
2
312
-321
-2
59
125
0
0
3
0
1
1
3
1
3
-2
3
-453
10
11
-2
0
0
0
0
347
0
12
-75
12
246
0
0
0
7
2
5
438
4
406
0
1
0
259
0
15
2
-190
2
-398
1
1
14
6
7
0
7
0
0
-375
-455
6
16
314
10
0
0
0
20
7
1
2
1
2
5
0
8
13
6
1
-225
5
16
5
4
348
0
-401
0
50
0
21
0
6
-359
6
1
1
5
12
1
8
423
24
2
0
6
-2
3
1
1
0
135
49
25
1
-420
0
-92
-373
0
73
5
244
0
1
6
-190
-195
0
0
-400
-417
170
5
5
2
0
-442
160
148
1
0
2
2
0
0
2
0
0
40
3
58
7
0
2
0
0
0
1
1
1
16
1
-168
0
0
0
-8
0
0
0
65
67
1
3
1
-224
5
299
15
0
1
15
-97
3
0
2
8
-320
0
401
31
0
3
-5
2
-411
0
244
1
-286
388
0
7
337
2
0
0
1
8
2
-7
-322
1
0
1
3
0
295
22
1
265
2
1
0
2
1
-369
1
0
3
77
1
0
-365
0
0
2
5
0
17
315
15
-386
4
4
0
0
5
332
3
1
14
-237
0
0
35
-202
-358
9
0
1
0
-191
1
4
4
244
1
0
7
2
1
-7
9
-1
3
1
0
3
7
0
5
1
0
-397
0
0
0
1
-121
-383
1
0
1
1
30
8
3
0
10
1
0
21
22
11
1
227
-288
0
1
-363
0
1
6
23
1
1
0
1
286
46
0
1
3
0
287
0
0
3
-347
303
245
0
2
0
4
2
-282
119
1
0
0
1
1
0
-324
28
8
-2
0
3
8
1
0
0
0
1
1
18
342
14
-4
29
-277
16
0
4
-19
29
0
4
10
25
25
5
2
1
-14
1
0
1
9
0
-22
-326
4
1
0
231
164
223
2
0
2
5
-350
-61
0
3
0
1
3
2
1
0
0
0
1
13
0
307
2
-303
3
-217
2
343
0
20
0
63
1
0
2
-302
0
-82
0
5
0
-280
20
6
20
-132
0
0
2
16
1
-133
-343
6
-31
-338
-1
-5
0
13
25
2
0
0
2
63
1
-175
4
2
1
1
44
1
-286
9
1
2
1
1
-1
1
1
0
0
22
8
303
0
9
9
110
6
-230
-193
4
5
2
2
2
1
0
1
3
1
14
3
0
281
3
0
-313
12
-32
1
-1
12
-334
1
6
285
-350
-274
-348
101
1
3
0
0
1
-12
1
-286
0
8
-8
72
-284
5
9
0
5
1
-96
-266
5
1
1
-365
0
0
0
-343
1
2
0
0
-373
8
1
34
0
5
4
1
0
0
0
-361
7
215
0
-300
3
229
4
3
245
-217
0
2
0
