lead_id,advisor_crd,contacted_date,target,total_jobs,days_since_last_move,current_tenure_days,avg_prior_tenure_days,prior_job_tenure_days,second_prior_job_tenure_days,moves_3yr_verified,tenure_decay_ratio,move_acceleration_ratio,recency_tier
00QVS000007BWJQ2A4,5380250,2024-05-22,0,3,2819,,3211.6666666666665,3165,3305,0,,0.96,Distant (> 2yr)
00QVS000007BWJf2AO,4903718,2024-05-22,0,3,3229,,3526.0,3378,3822,0,,0.88,Distant (> 2yr)
00QVS000007GQHJ2A4,6112245,2024-05-30,0,3,1336,,1475.3333333333333,1845,1919,1,,0.96,Distant (> 2yr)
00QVS000007Vd1g2AC,5515729,2024-06-03,0,3,-372,2135,728.0,2135,728,0,2.93,2.93,Very Recent (< 6mo)
00QVS000007Vd1l2AC,2946017,2024-06-04,0,3,6637,,2837.0,1109,3645,1,,0.3,Distant (> 2yr)
00QVS000007Vd1n2AC,5840720,2024-06-04,0,3,1971,,1544.6666666666665,2596,379,1,,6.85,Distant (> 2yr)
00QVS000007Vd2S2AS,6515308,2024-06-04,0,3,126,,1488.0,2094,1191,2,,1.76,Very Recent (< 6mo)
00QVS000007azgD2AQ,5433660,2024-06-10,0,3,1249,,3087.6666666666665,4603,4207,0,,1.09,Distant (> 2yr)
00QVS000007azgQ2AQ,6846465,2024-06-07,0,3,1786,,347.3333333333333,115,518,0,,0.22,Distant (> 2yr)
00QVS000007azgb2AA,4660928,2024-06-07,0,3,2292,,2176.3333333333335,3560,940,0,,3.79,Distant (> 2yr)
00QVS000007azgk2AA,5712039,2024-06-11,0,3,4509,,690.6666666666666,816,817,0,,1.0,Distant (> 2yr)
00QVS000007azgx2AA,6339854,2024-06-07,0,3,1773,,1204.6666666666667,988,1638,0,,0.6,Distant (> 2yr)
00QVS000007azh02AA,7005789,2024-06-07,0,3,1249,,786.0,774,810,0,,0.96,Distant (> 2yr)
00QVS000007azhB2AQ,6951910,2024-06-07,0,3,-305,1685,211.0,1685,211,0,7.99,7.99,Very Recent (< 6mo)
00QVS000007azhY2AQ,6972493,2024-06-07,0,3,1676,,399.6666666666667,391,417,0,,0.94,Distant (> 2yr)
